3;2,5;3;3;2,5;0;14
2,5;2,5;1,5;2,5;2,5;1,5;13
3;3;1,5;1,5;1;2;12
3;2;1;2;0,5;1;9,5
3;3;1;2;0,5;1,5;11
2,5;2;2;0;0;0;6,5
2;3;1,5;2;0;0;8,5
3;3;3;2,5;2;3;16,5
3;2;2;1,5;0;1,5;10
2;3;1;2;0,5;0;8,5
2;2,5;2;1,5;0,5;0;8,5
3;3;3;3;2,5;3;17,5
3;3;0,5;3;0;0;9,5
3;2,5;1,5;2;2;0,5;11,5
2;3;3;0;1;0;9
3;3;1,5;3;0,5;1;12
3;2,5;1;2;0;0,5;9
3;1;2,5;2;1,5;1;11
1,5;1,5;1,5;0;0,5;0;5
3;3;3;2,5;2,5;1;15
3;2;1;0,5;0;0;6,5
3;3;1;2;0;1;10
3;3;1,5;2;0,5;0,5;10,5
1;1;0,5;0;0,5;0;3
2;2,5;3;3;0;1;11,5
3;0;0,5;1,5;0;0;5
3;2,5;2;1;0;1;9,5
2,5;0,5;3;0,5;0,5;0;7
3;3;3;2,5;2,5;1;15
2,5;3;1,5;2;0,5;0;9,5
3;3;3;2,5;3;3;17,5
82,5;74,5;57;55,5;28;25;322,5
2,661290323;2,403225806;1,838709677;1,790322581;0,903225806;0,806451613;10,40322581
